# dc:title,教育部國語辭典簡編本詞庫,
# dc:rights,中華民國教育部（Ministry of Education, R.O.C.）。《國語辭典簡編本》（版本編號：2014_20251229 ）網址： http://dict.concised.moe.edu.tw /,
# dc:license,CC-BY-ND-3.0-TW,
# dc:identifier,2025.12.29,
八,1,ㄅㄚ
八拜之交,1,ㄅㄚ ㄅㄞˋ ㄓ ㄐㄧㄠ
八寶飯,1,ㄅㄚ ㄅㄠˇ ㄈㄢˋ
八寶粥,1,ㄅㄚ ㄅㄠˇ ㄓㄡ
八面玲瓏,1,ㄅㄚ ㄇㄧㄢˋ ㄌㄧㄥˊ ㄌㄨㄥˊ
八面威風,1,ㄅㄚ ㄇㄧㄢˋ ㄨㄟ ㄈㄥ
八方,1,ㄅㄚ ㄈㄤ
八德,1,ㄅㄚ ㄉㄜˊ
八年抗戰,1,ㄅㄚ ㄋㄧㄢˊ ㄎㄤˋ ㄓㄢˋ
八哥,1,ㄅㄚ ㄍㄜ
八股文,1,ㄅㄚ ㄍㄨˇ ㄨㄣˊ
八卦,1,ㄅㄚ ㄍㄨㄚˋ
八家將,1,ㄅㄚ ㄐㄧㄚ ㄐㄧㄤˋ
八仙,1,ㄅㄚ ㄒㄧㄢ
八仙過海,1,ㄅㄚ ㄒㄧㄢ ㄍㄨㄛˋ ㄏㄞˇ
八成,1,ㄅㄚ ㄔㄥˊ
八字,1,ㄅㄚ ㄗˋ
八二三炮戰,1,ㄅㄚ ㄦˋ ㄙㄢ ㄆㄠˋ ㄓㄢˋ
八一七公報,1,ㄅㄚ ㄧ ㄑㄧ ㄍㄨㄥ ㄅㄠˋ
八佾舞,1,ㄅㄚ ㄧˋ ㄨˇ
八音,1,ㄅㄚ ㄧㄣ
扒,1,ㄅㄚ
叭,1,ㄅㄚ
巴,1,ㄅㄚ
巴巴,1,ㄅㄚ ㄅㄚ
巴不得,1,ㄅㄚ ㄅㄨˋ ㄉㄜ˙
巴結,1,ㄅㄚ ㄐㄧㄝˊ
巴掌,1,ㄅㄚ ㄓㄤˇ
巴士,1,ㄅㄚ ㄕˋ
巴望,1,ㄅㄚ ㄨㄤˋ
吧,1,ㄅㄚ
吧檯,1,ㄅㄚ ㄊㄞˊ
芭,1,ㄅㄚ
芭樂,1,ㄅㄚ ㄌㄜˋ
芭蕾舞,1,ㄅㄚ ㄌㄟˇ ㄨˇ
芭蕉,1,ㄅㄚ ㄐㄧㄠ
疤,1,ㄅㄚ
疤痕,1,ㄅㄚ ㄏㄣˊ
粑,1,ㄅㄚ
笆,1,ㄅㄚ
峇,1,ㄅㄚ
捌,1,ㄅㄚ
拔,1,ㄅㄚˊ
拔得頭籌,1,ㄅㄚˊ ㄉㄜˊ ㄊㄡˊ ㄔㄡˊ
拔刀相助,1,ㄅㄚˊ ㄉㄠ ㄒㄧㄤ ㄓㄨˋ
拔掉,1,ㄅㄚˊ ㄉㄧㄠˋ
拔腿,1,ㄅㄚˊ ㄊㄨㄟˇ
拔腿就跑,1,ㄅㄚˊ ㄊㄨㄟˇ ㄐㄧㄡˋ ㄆㄠˇ
拔河,1,ㄅㄚˊ ㄏㄜˊ
拔尖,1,ㄅㄚˊ ㄐㄧㄢ
拔起,1,ㄅㄚˊ ㄑㄧˇ
拔取,1,ㄅㄚˊ ㄑㄩˇ
拔擢,1,ㄅㄚˊ ㄓㄨㄛˊ
拔除,1,ㄅㄚˊ ㄔㄨˊ
拔牙,1,ㄅㄚˊ ㄧㄚˊ
跋,1,ㄅㄚˊ
跋扈,1,ㄅㄚˊ ㄏㄨˋ
跋涉,1,ㄅㄚˊ ㄕㄜˋ
跋山涉水,1,ㄅㄚˊ ㄕㄢ ㄕㄜˋ ㄕㄨㄟˇ
鈸,1,ㄅㄚˊ
把,1,ㄅㄚˇ
把柄,1,ㄅㄚˇ ㄅㄧㄥˇ
把脈,1,ㄅㄚˇ ㄇㄞˋ
把門,1,ㄅㄚˇ ㄇㄣˊ
把風,1,ㄅㄚˇ ㄈㄥ
把關,1,ㄅㄚˇ ㄍㄨㄢ
把戲,1,ㄅㄚˇ ㄒㄧˋ
把盞,1,ㄅㄚˇ ㄓㄢˇ
把持,1,ㄅㄚˇ ㄔˊ
把式,1,ㄅㄚˇ ㄕˋ
把手,1,ㄅㄚˇ ㄕㄡˇ
把守,1,ㄅㄚˇ ㄕㄡˇ
把握,1,ㄅㄚˇ ㄨㄛˋ
把玩,1,ㄅㄚˇ ㄨㄢˊ
靶,1,ㄅㄚˇ
靶心,1,ㄅㄚˇ ㄒㄧㄣ
靶場,1,ㄅㄚˇ ㄔㄤˇ
靶子,1,ㄅㄚˇ ㄗ˙
把,1,ㄅㄚˋ
爸,1,ㄅㄚˋ
爸爸,1,ㄅㄚˋ ㄅㄚ˙
伯,1,ㄅㄚˋ
罷,1,ㄅㄚˋ
罷免,1,ㄅㄚˋ ㄇㄧㄢˇ
罷免權,1,ㄅㄚˋ ㄇㄧㄢˇ ㄑㄩㄢˊ
罷了,1,ㄅㄚˋ ㄌㄜ˙
罷了,1,ㄅㄚˋ ㄌㄧㄠˇ
罷工,1,ㄅㄚˋ ㄍㄨㄥ
罷課,1,ㄅㄚˋ ㄎㄜˋ
罷休,1,ㄅㄚˋ ㄒㄧㄡ
罷黜,1,ㄅㄚˋ ㄔㄨˋ
罷駛,1,ㄅㄚˋ ㄕˇ
罷市,1,ㄅㄚˋ ㄕˋ
罷手,1,ㄅㄚˋ ㄕㄡˇ
霸,1,ㄅㄚˋ
霸道,1,ㄅㄚˋ ㄉㄠˋ
霸權,1,ㄅㄚˋ ㄑㄩㄢˊ
霸占,1,ㄅㄚˋ ㄓㄢˋ
霸主,1,ㄅㄚˋ ㄓㄨˇ
霸業,1,ㄅㄚˋ ㄧㄝˋ
霸王,1,ㄅㄚˋ ㄨㄤˊ
壩,1,ㄅㄚˋ
吧,1,ㄅㄚ˙
